"gene_name","module","color","kME_blue","kME_turquoise","kME_grey","kME_yellow","kME_brown","kME_green"
"TMEM8B","grey","grey",-0.0421186184066054,0.0717639319006059,0.0157898604952773,0.0149826969488104,0.00753268230192331,0.019330738998039
"RECK","blue","blue",0.351258251730513,-0.244346874117997,0.182818021462422,-0.134669673039442,0.103833262508679,-0.00689697352672404
"GLIPR2","grey","grey",0.0702010091338406,-0.0292522790282845,0.0193947904161193,-0.0388674795079513,0.137064823889045,0.00986347455161318
"CLTA","turquoise","turquoise",-0.258469720706494,0.383052876773013,-0.0229000564814361,0.216666199594113,-0.0389572856808476,0.0601384893689633
"GNE","grey","grey",0.0218785160292523,0.0259585349984945,0.0389319824394021,0.0456898150771812,0.044246051020801,0.0256616603129556
"RNF38","grey","grey",0.182843759242967,-0.106981254743791,0.104159135379985,-0.0601502640261888,0.143380483324046,0.0167717275173136
"EBLN3P","grey","grey",-0.0189852312820622,0.0492171252309217,0.0236050020123533,0.0376316207057823,0.00898951714361419,0.0282188216463578
"ZCCHC7","blue","blue",0.536587674179169,-0.354945194502691,0.206580861544508,-0.153538391312826,0.166468260549432,0.0150762101504118
"GRHPR","turquoise","turquoise",-0.0777992433528369,0.161616597430947,0.0348011419779063,0.0664234334976576,0.0257869189962334,0.0633919837669374
"ZBTB5","grey","grey",0.132607653527932,-0.0864806924218252,0.0666361547844774,-0.0521446308138126,0.0480883668091414,0.0288023671844838
"AL138752.2","grey","grey",0.088147306940676,-0.0470073657872226,0.0491237405765513,-0.0241043967284838,0.0746313523794291,0.0324644352948608
"TRMT10B","grey","grey",0.168793330777117,-0.110163956481866,0.0827852067748657,-0.0559683485771642,0.0685829025055978,0.0365577663133848
"DCAF10","grey","grey",0.245968181245684,-0.113581103193574,0.114890095578606,-0.0502351737331146,0.0717204737838997,0.00831495491066216
"FAM95C","brown","brown",0.223275845173373,-0.169731441546658,0.0514262628249011,-0.10309830386121,0.197769952505482,0.0181262320995453
"ANKRD18A","blue","blue",0.2556269718205,-0.198678577423826,0.063139199674936,-0.095056759885544,0.203659553162107,0.0164506932616005
"CNTNAP3","grey","grey",0.184792220535741,-0.139486043380426,0.054242690070503,-0.0685159152415135,0.0630181495775192,0.00651086181300713
"GLIDR","blue","blue",0.264258689901139,-0.160649287361216,0.110159344708903,-0.0761659829800391,0.101160236580252,-0.0129322948135795
"CBWD6","grey","grey",0.268239458263714,-0.150601045756395,0.168841002464264,-0.0620750653730971,0.0185014079578101,0.0317362107810065
"CNTNAP3B","blue","blue",0.350517063955679,-0.224597366816365,0.148821625609274,-0.0967872323434192,0.0404272477795989,0.00348867091531863
"LINC01410","grey","grey",0.0451671777043629,-0.04470405323997,0.031662933023746,-0.0267679830135267,-0.00422937160394869,-0.0254494482001736
"AL512625.3","grey","grey",0.0914603723018245,-0.0401249852709361,0.0498078323595109,-0.0199533805398336,0.0843762036509357,0.0173279685490785
"CBWD5","blue","blue",0.394125378971426,-0.242894806374554,0.213312848048609,-0.100373060967517,0.06867868774638,-0.000235784959017167
"ZNF658","grey","grey",0.147977828951099,-0.0945112147602151,0.0558040685383635,-0.0609206426497014,0.0165831868904251,0.0165416554604584
"CBWD3","blue","blue",0.206525283407946,-0.107165116943344,0.119030575129765,-0.0545390368819928,0.0764151758286961,0.00134198226708519
"PGM5","grey","grey",0.0986988512608008,-0.0489559824909448,0.217951567742614,-0.0321821251928592,0.108879889630053,0.0227059830768819
"AL161457.2","grey","grey",0.133773191161362,-0.0789484628086505,0.0627361772272226,-0.0533798486745954,0.125537789804704,0.0390977617204993
"PIP5K1B","grey","grey",0.153630150539763,0.0423234346020701,0.146876451195277,0.115985229794051,-0.0329683525964404,0.0162888942578857
"FAM189A2","brown","brown",0.103772350084072,-0.0909095630636395,0.0392006106713677,-0.023867293088424,0.0177396470653566,-0.0218202768878333
"APBA1","grey","grey",0.253698859125562,-0.040906296116204,0.154569071747974,0.0726311871041983,0.0129445777705753,0.0101231076807882
"PTAR1","grey","grey",0.104647419575708,-0.0129346633489971,0.120483369980478,0.0126846858078056,0.0708411594178156,0.0312808527530754
"MAMDC2-AS1","grey","grey",0.127785293271425,-0.0713659863220081,0.0727758769073677,-0.00751795667690538,0.0100752038481869,-0.0233559794625193
"MAMDC2","grey","grey",0.151187419877509,-0.000601180183615685,0.0974129498834533,0.0418007391475075,0.0224076956681969,0.0351555917422688
"SMC5-AS1","grey","grey",0.135530520886611,-0.0896081083599633,0.0458711552493629,-0.0646505933795176,0.000422805675134613,-0.00576976084328342
"SMC5","blue","blue",0.313911351737537,-0.213334627750876,0.119500431185294,-0.0883792384826882,0.15769746285128,0.0326454104509633
"KLF9","grey","grey",-0.0557038352748043,0.0979104988442605,0.00695072034967561,0.094087909402361,0.0257616735534479,0.0448828797386275
"TRPM3","brown","brown",0.123812083854307,-0.131106186098341,0.0402491854782776,-0.0829869151967714,0.0737975678099714,-0.0290400991089801
"CEMIP2","grey","grey",0.134118932147606,-0.121273329062536,0.0576506017559298,-0.0788491137440008,0.118240621560712,0.0269032262748883
"ABHD17B","grey","grey",0.0933143316041832,-0.0188347231854021,0.0728073460309403,0.0291330452230653,0.137507192264619,0.00833864809221886
"C9orf85","blue","blue",0.239145792529522,-0.160773730805897,0.110699114951881,-0.0824349356859825,0.164254913832717,0.0245107924459726
"ZFAND5","turquoise","turquoise",-0.248660385323244,0.326790150353325,-0.0149768971061172,0.260407663897674,-0.0443235972908484,0.0527573423539232
"TMC1","grey","grey",0.068240421877658,-0.0377776053469558,0.0332927922645262,-0.0253095877097096,0.0125250693011202,0.0179767704298341
